模型训练开始，起始时间：2024-07-13 06:23:43.091239
当前Batch：650/6035 | 当前epoch:0/50 | 当前损失值：8.5018 | 当前准确率：8.79%
当前Batch：660/6035 | 当前epoch:0/50 | 当前损失值：8.5211 | 当前准确率：6.85%
当前Batch：670/6035 | 当前epoch:0/50 | 当前损失值：8.7947 | 当前准确率：7.36%
当前Batch：680/6035 | 当前epoch:0/50 | 当前损失值：8.4707 | 当前准确率：8.71%
当前Batch：690/6035 | 当前epoch:0/50 | 当前损失值：8.3849 | 当前准确率：8.43%
当前Batch：700/6035 | 当前epoch:0/50 | 当前损失值：8.5285 | 当前准确率：6.99%
当前Batch：710/6035 | 当前epoch:0/50 | 当前损失值：7.5639 | 当前准确率：21.05%
当前Batch：720/6035 | 当前epoch:0/50 | 当前损失值：8.5706 | 当前准确率：7.41%
当前Batch：730/6035 | 当前epoch:0/50 | 当前损失值：8.6262 | 当前准确率：4.78%
当前Batch：740/6035 | 当前epoch:0/50 | 当前损失值：8.1569 | 当前准确率：10.56%
当前Batch：750/6035 | 当前epoch:0/50 | 当前损失值：7.9387 | 当前准确率：13.51%
当前Batch：760/6035 | 当前epoch:0/50 | 当前损失值：7.2812 | 当前准确率：22.22%
当前Batch：770/6035 | 当前epoch:0/50 | 当前损失值：8.5084 | 当前准确率：8.23%
当前Batch：780/6035 | 当前epoch:0/50 | 当前损失值：8.3863 | 当前准确率：7.43%
当前Batch：790/6035 | 当前epoch:0/50 | 当前损失值：8.3569 | 当前准确率：8.98%
当前Batch：800/6035 | 当前epoch:0/50 | 当前损失值：8.1856 | 当前准确率：9.71%
当前Batch：810/6035 | 当前epoch:0/50 | 当前损失值：8.0099 | 当前准确率：11.66%
当前Batch：820/6035 | 当前epoch:0/50 | 当前损失值：8.4229 | 当前准确率：6.06%
当前Batch：830/6035 | 当前epoch:0/50 | 当前损失值：8.0932 | 当前准确率：9.06%
当前Batch：840/6035 | 当前epoch:0/50 | 当前损失值：8.1735 | 当前准确率：11.50%
当前Batch：850/6035 | 当前epoch:0/50 | 当前损失值：8.0049 | 当前准确率：10.92%
当前Batch：860/6035 | 当前epoch:0/50 | 当前损失值：7.8242 | 当前准确率：10.09%
当前Batch：870/6035 | 当前epoch:0/50 | 当前损失值：8.0078 | 当前准确率：11.19%
当前Batch：880/6035 | 当前epoch:0/50 | 当前损失值：8.1697 | 当前准确率：10.02%
当前Batch：890/6035 | 当前epoch:0/50 | 当前损失值：7.9319 | 当前准确率：10.33%
当前Batch：900/6035 | 当前epoch:0/50 | 当前损失值：8.4376 | 当前准确率：5.54%
当前Batch：910/6035 | 当前epoch:0/50 | 当前损失值：8.0733 | 当前准确率：9.85%
当前Batch：920/6035 | 当前epoch:0/50 | 当前损失值：8.3467 | 当前准确率：6.68%
当前Batch：930/6035 | 当前epoch:0/50 | 当前损失值：8.0016 | 当前准确率：8.74%
当前Batch：940/6035 | 当前epoch:0/50 | 当前损失值：8.0906 | 当前准确率：7.36%
当前Batch：950/6035 | 当前epoch:0/50 | 当前损失值：7.8946 | 当前准确率：10.71%
当前Batch：960/6035 | 当前epoch:0/50 | 当前损失值：7.9974 | 当前准确率：9.00%
当前Batch：970/6035 | 当前epoch:0/50 | 当前损失值：7.9197 | 当前准确率：8.77%
当前Batch：980/6035 | 当前epoch:0/50 | 当前损失值：8.0669 | 当前准确率：5.96%
当前Batch：990/6035 | 当前epoch:0/50 | 当前损失值：7.9315 | 当前准确率：10.26%
当前Batch：1000/6035 | 当前epoch:0/50 | 当前损失值：8.0311 | 当前准确率：7.91%
当前Batch：1010/6035 | 当前epoch:0/50 | 当前损失值：8.0662 | 当前准确率：8.38%
当前Batch：1020/6035 | 当前epoch:0/50 | 当前损失值：6.7451 | 当前准确率：24.85%
当前Batch：1030/6035 | 当前epoch:0/50 | 当前损失值：7.9403 | 当前准确率：11.23%
当前Batch：1040/6035 | 当前epoch:0/50 | 当前损失值：7.9175 | 当前准确率：9.15%
当前Batch：1050/6035 | 当前epoch:0/50 | 当前损失值：7.902 | 当前准确率：8.97%
当前Batch：1060/6035 | 当前epoch:0/50 | 当前损失值：7.811 | 当前准确率：9.98%
当前Batch：1070/6035 | 当前epoch:0/50 | 当前损失值：7.7751 | 当前准确率：11.36%
当前Batch：1080/6035 | 当前epoch:0/50 | 当前损失值：7.9109 | 当前准确率：7.60%
当前Batch：1090/6035 | 当前epoch:0/50 | 当前损失值：7.6334 | 当前准确率：13.22%
当前Batch：1100/6035 | 当前epoch:0/50 | 当前损失值：7.1893 | 当前准确率：18.72%
当前Batch：1110/6035 | 当前epoch:0/50 | 当前损失值：7.2769 | 当前准确率：13.59%
当前Batch：1120/6035 | 当前epoch:0/50 | 当前损失值：7.2558 | 当前准确率：13.72%
当前Batch：1130/6035 | 当前epoch:0/50 | 当前损失值：7.4614 | 当前准确率：12.07%
当前Batch：1140/6035 | 当前epoch:0/50 | 当前损失值：7.5072 | 当前准确率：10.73%
当前Batch：1150/6035 | 当前epoch:0/50 | 当前损失值：7.6907 | 当前准确率：8.47%
当前Batch：1160/6035 | 当前epoch:0/50 | 当前损失值：7.4905 | 当前准确率：11.30%
当前Batch：1170/6035 | 当前epoch:0/50 | 当前损失值：6.798 | 当前准确率：21.45%
当前Batch：1180/6035 | 当前epoch:0/50 | 当前损失值：6.7912 | 当前准确率：19.58%
当前Batch：1190/6035 | 当前epoch:0/50 | 当前损失值：7.6354 | 当前准确率：8.97%
当前Batch：1200/6035 | 当前epoch:0/50 | 当前损失值：7.1201 | 当前准确率：15.19%
当前Batch：1210/6035 | 当前epoch:0/50 | 当前损失值：7.3336 | 当前准确率：13.14%
当前Batch：1220/6035 | 当前epoch:0/50 | 当前损失值：7.3202 | 当前准确率：13.45%
当前Batch：1230/6035 | 当前epoch:0/50 | 当前损失值：7.5491 | 当前准确率：9.83%
当前Batch：1240/6035 | 当前epoch:0/50 | 当前损失值：7.4077 | 当前准确率：11.67%
当前Batch：1250/6035 | 当前epoch:0/50 | 当前损失值：6.5127 | 当前准确率：24.64%
当前Batch：1260/6035 | 当前epoch:0/50 | 当前损失值：7.1323 | 当前准确率：13.56%
当前Batch：1270/6035 | 当前epoch:0/50 | 当前损失值：7.3102 | 当前准确率：11.06%
当前Batch：1280/6035 | 当前epoch:0/50 | 当前损失值：6.9943 | 当前准确率：17.91%
当前Batch：1290/6035 | 当前epoch:0/50 | 当前损失值：7.1607 | 当前准确率：13.50%
当前Batch：1300/6035 | 当前epoch:0/50 | 当前损失值：7.1666 | 当前准确率：12.40%
